YEAR,RESNOM,RESREAL,COMNOM,COMREAL,INDNOM,INDREAL,CARNOM,CARREAL,OTHNOM,OTHREAL,TOTNOM,TOTREAL
1960,2.6,14,2.4,12.9,1.1,5.9,0,0,1.9,10.2,1.8,9.7
1961,2.6,13.8,2.4,12.8,1.1,5.8,0,0,1.8,9.6,1.8,9.6
1962,2.6,13.6,2.4,12.6,1.1,5.8,0,0,1.9,10,1.8,9.4
1963,2.5,13,2.3,11.9,1,5.2,0,0,1.8,9.3,1.8,9.3
1964,2.5,12.8,2.2,11.2,1,5.1,0,0,1.8,9.2,1.7,8.7
1965,2.4,12,2.2,11,1,5,0,0,1.8,9,1.7,8.5
1966,2.3,11.2,2.1,10.2,1,4.9,0,0,1.8,8.8,1.7,8.3
1967,2.3,10.9,2.1,9.9,1,4.7,0,0,1.8,8.5,1.7,8
1968,2.3,10.4,2.1,9.5,1,4.5,0,0,1.8,8.2,1.6,7.3
1969,2.2,9.5,2.1,9.1,1,4.3,0,0,1.7,7.4,1.6,6.9
1970,2.2,9,2.1,8.6,1,4.1,0,0,1.8,7.4,1.7,7
1971,2.3,9,2.2,8.6,1.1,4.3,0,0,1.9,7.4,1.8,7
1972,2.4,9,2.3,8.6,1.2,4.5,0,0,2,7.5,1.9,7.1
1973,2.5,8.9,2.4,8.5,1.3,4.6,0,0,2.1,7.5,2,7.1
1974,3.1,10.1,3,9.8,1.7,5.5,0,0,2.8,9.1,2.5,8.2
1975,3.5,10.4,3.5,10.4,2.1,6.3,0,0,3.1,9.2,2.9,8.6
1976,3.7,10.4,3.7,10.4,2.2,6.2,0,0,3.3,9.3,3.1,8.7
1977,4.1,10.9,4.1,10.9,2.5,6.6,0,0,3.5,9.3,3.4,9
1978,4.3,10.6,4.4,10.9,2.8,6.9,0,0,3.6,8.9,3.7,9.2
1979,4.6,10.5,4.7,10.7,3.1,7.1,0,0,4,9.1,4,9.1
1980,5.4,11.3,5.5,11.5,3.7,7.7,0,0,4.8,10,4.7,9.8
1981,6.2,11.9,6.3,12.1,4.3,8.2,0,0,5.3,10.1,5.5,10.5
1982,6.9,12.4,6.9,12.4,5,9,0,0,5.9,10.6,6.1,11
1983,7.2,12.5,7,12.1,5,8.7,0,0,6.4,11.1,6.3,10.9
1984,7.15,11.95,7.13,11.92,4.83,8.07,0,0,5.9,9.86,6.25,10.45
1985,7.39,11.99,7.27,11.8,4.97,8.06,0,0,6.09,9.88,6.44,10.45
1986,7.42,11.78,7.2,11.43,4.93,7.83,0,0,6.11,9.7,6.44,10.22
1987,7.45,11.49,7.08,10.92,4.77,7.36,0,0,6.21,9.58,6.37,9.83
1988,7.48,11.16,7.04,10.5,4.7,7.01,0,0,6.2,9.25,6.35,9.47
1989,7.65,11,7.2,10.35,4.72,6.78,0,0,6.25,8.98,6.45,9.27
1990,7.83,10.84,7.34,10.16,4.74,6.56,0,0,6.4,8.86,6.57,9.09
1991,8.04,10.75,7.53,10.06,4.83,6.46,0,0,6.51,8.7,6.75,9.02
1992,8.21,10.72,7.66,10,4.83,6.31,0,0,6.74,8.8,6.82,8.9
1993,8.32,10.63,7.74,9.89,4.85,6.19,0,0,6.88,8.79,6.93,8.85
1994,8.38,10.48,7.73,9.67,4.77,5.97,0,0,6.84,8.56,6.91,8.64
1995,8.4,10.29,7.69,9.42,4.66,5.71,0,0,6.88,8.43,6.89,8.44
1996,8.36,10.05,7.64,9.19,4.6,5.53,0,0,6.91,8.31,6.86,8.25
1997,8.43,9.96,7.59,8.97,4.53,5.35,0,0,6.91,8.17,6.85,8.09
1998,8.26,9.65,7.41,8.66,4.48,5.23,0,0,6.63,7.75,6.74,7.88
1999,8.16,9.4,7.26,8.36,4.43,5.1,0,0,6.35,7.31,6.64,7.65
2000,8.24,9.29,7.43,8.37,4.64,5.23,0,0,6.56,7.39,6.81,7.68
2001,8.58,9.46,7.92,8.73,5.05,5.57,0,0,7.2,7.94,7.29,8.04
2002,8.44,9.15,7.89,8.56,4.88,5.29,0,0,6.75,7.32,7.2,7.81
2003,8.72,9.26,8.03,8.53,5.11,5.43,7.54,8.01,,,7.44,7.9
2004,8.95,9.25,8.17,8.44,5.25,5.42,7.18,7.42,,,7.61,7.86
2005,9.45,9.45,8.67,8.67,5.73,5.73,8.57,8.57,,,8.14,8.14
2006,10.4,10.07,9.46,9.16,6.16,5.97,9.54,9.24,,,8.9,8.62
2007,10.65,10.03,9.65,9.08,6.39,6.02,9.7,9.13,,,9.13,8.59
2008,11.26,10.37,10.36,9.54,6.83,6.29,10.74,9.89,,,9.74,8.97
2009,11.51,10.49,10.17,9.27,6.81,6.21,10.65,9.71,,,9.82,8.95
2010,11.54,10.4,10.19,9.18,6.77,6.1,10.57,9.52,,,9.83,8.86
2011P,11.8,10.41,10.32,9.1,6.89,6.08,10.58,9.33,,,9.99,8.81
