YEAR,RESNOM,RESREAL
1960,2.6,14
1961,2.6,13.8
1962,2.6,13.6
1963,2.5,13
1964,2.5,12.8
1965,2.4,12
1966,2.3,11.2
1967,2.3,10.9
1968,2.3,10.4
1969,2.2,9.5
1970,2.2,9
1971,2.3,9
1972,2.4,9
1973,2.5,8.9
1974,3.1,10.1
1975,3.5,10.4
1976,3.7,10.4
1977,4.1,10.9
1978,4.3,10.6
1979,4.6,10.5
1980,5.4,11.3
1981,6.2,11.9
1982,6.9,12.4
1983,7.2,12.5
1984,7.15,11.95
1985,7.39,11.99
1986,7.42,11.78
1987,7.45,11.49
1988,7.48,11.16
1989,7.65,11
1990,7.83,10.84
1991,8.04,10.75
1992,8.21,10.72
1993,8.32,10.63
1994,8.38,10.48
1995,8.4,10.29
1996,8.36,10.05
1997,8.43,9.96
1998,8.26,9.65
1999,8.16,9.4
2000,8.24,9.29
2001,8.58,9.46
2002,8.44,9.15
2003,8.72,9.26
2004,8.95,9.25
2005,9.45,9.45
2006,10.4,10.07
2007,10.65,10.03
2008,11.26,10.37
2009,11.51,10.49
2010,11.54,10.4
2011,11.8,10.41
