YEAR,TOTNOM,TOTREAL
1960,1.8,9.7
1961,1.8,9.6
1962,1.8,9.4
1963,1.8,9.3
1964,1.7,8.7
1965,1.7,8.5
1966,1.7,8.3
1967,1.7,8
1968,1.6,7.3
1969,1.6,6.9
1970,1.7,7
1971,1.8,7
1972,1.9,7.1
1973,2,7.1
1974,2.5,8.2
1975,2.9,8.6
1976,3.1,8.7
1977,3.4,9
1978,3.7,9.2
1979,4,9.1
1980,4.7,9.8
1981,5.5,10.5
1982,6.1,11
1983,6.3,10.9
1984,6.25,10.45
1985,6.44,10.45
1986,6.44,10.22
1987,6.37,9.83
1988,6.35,9.47
1989,6.45,9.27
1990,6.57,9.09
1991,6.75,9.02
1992,6.82,8.9
1993,6.93,8.85
1994,6.91,8.64
1995,6.89,8.44
1996,6.86,8.25
1997,6.85,8.09
1998,6.74,7.88
1999,6.64,7.65
2000,6.81,7.68
2001,7.29,8.04
2002,7.2,7.81
2003,7.44,7.9
2004,7.61,7.86
2005,8.14,8.14
2006,8.9,8.62
2007,9.13,8.59
2008,9.74,8.97
2009,9.82,8.95
2010,9.83,8.86
2011P,9.99,8.81
